City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,2.09,69,77,5.56,GS,1712756398
1,mahibadhoo,3.7833,72.9667,29.77,71,83,5.36,MV,1712756398
2,chonchi,-42.6128,-73.8092,10.62,76,23,1.6,CL,1712756398
3,cill airne,52.05,-9.5167,15.03,88,75,13.38,IE,1712756398
4,college,64.8569,-147.8028,-3.22,80,20,1.54,US,1712756398
5,utrik,11.2278,169.8474,26.63,83,100,10.86,MH,1712756398
6,sechenovo,55.2244,45.8906,16.34,49,53,3.44,RU,1712756398
7,hawaiian paradise park,19.5933,-154.9731,20.02,93,0,2.57,US,1712756398
8,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,96,100,2.24,RU,1712756398
9,blackmans bay,-43.0167,147.3167,12.07,80,51,3.22,AU,1712756399
10,arraial do cabo,-22.9661,-42.0278,29.92,66,20,2.57,BR,1712756399
11,gonzaga,44.9498,10.8209,14.47,85,100,3.38,IT,1712756399
12,lihue,21.9789,-159.3672,22.77,76,75,5.14,US,1712756252
13,fort st. john,56.2499,-120.8529,-2.06,64,0,2.57,CA,1712756399
14,nar'yan-mar,67.6713,53.087,-8.83,94,65,2.68,RU,1712756399
15,invercargill,-46.4,168.35,11.68,96,100,0.41,NZ,1712756355
16,shahr-e babak,30.1165,55.1186,23.53,18,100,8.11,IR,1712756399
17,waitangi,-43.9535,-176.5597,15.46,94,81,2.68,NZ,1712756399
18,mossendjo,-2.9506,12.7261,27.76,87,86,0.96,CG,1712756399
19,changji,44.0167,87.3167,14.44,44,0,3.0,CN,1712756399
20,port-aux-francais,-49.35,70.2167,6.45,98,100,7.11,TF,1712756400
21,trairi,-3.2778,-39.2689,29.29,77,100,1.9,BR,1712756163
22,camana,-16.6228,-72.7111,21.15,89,100,2.13,PE,1712756400
23,constantia,44.1833,28.65,20.39,69,0,4.08,RO,1712756400
24,prado,-17.3411,-39.2208,28.78,70,31,1.86,BR,1712756400
25,adamstown,-25.066,-130.1015,23.77,85,100,3.7,PN,1712756400
26,wailua homesteads,22.0669,-159.378,22.44,82,75,5.14,US,1712756400
27,shuangyashan,46.6361,131.1539,6.51,38,0,2.95,CN,1712756169
28,mehran,33.1222,46.1646,25.68,46,2,4.49,IR,1712756400
29,wynyard,-41.0,145.7167,10.64,87,3,2.76,AU,1712756400
30,chamical,-30.36,-66.314,19.5,70,100,1.44,AR,1712756401
31,mach,29.8637,67.3298,28.57,15,51,1.72,PK,1712756401
32,ribeira grande,38.5167,-28.7,18.22,88,75,3.09,PT,1712756401
33,bilibino,68.0546,166.4372,-21.21,100,98,1.34,RU,1712756401
34,iqaluit,63.7506,-68.5145,-4.15,68,75,0.0,CA,1712756401
35,uturoa,-16.7333,-151.4333,28.85,74,96,6.81,PF,1712756401
36,brookings,44.3114,-96.7984,8.36,74,0,2.57,US,1712756401
37,tambopata,-12.7333,-69.1833,25.94,89,0,3.09,PE,1712756401
